stop_id,stop_name,stop_lat,stop_lon,stop_timezone
2000004,Smolensk,54.79834,32.034462,Europe/Moscow
2000021,Wjasma,55.19739,34.317551,Europe/Moscow
2000058,Moskva Belorusskaja,55.776672,37.579809,Europe/Moscow
2000158,Osinovka(Gr),54.707073,31.002033,Europe/Moscow
2100001,Brest Central,52.100435,23.680679,Europe/Moscow
2100003,Minsk-Passajirskii,53.890736,27.550643,Europe/Moscow
2100012,Orscha Central,54.520834,30.374883,Europe/Moscow
2100013,Baranovichi Centralnye,53.142608,26.027079,Europe/Moscow
2100149,Brest(Gr),52.098898,23.673856,Europe/Moscow
5100005,Bydgoszcz Glowna,53.135111,17.99164,Europe/Warsaw 
5100009,Gdansk Glowny,54.355523,18.643807,Europe/Warsaw 
5100010,Gdynia Glowna,54.520843,18.529554,Europe/Warsaw 
5100013,Gniezno,52.529652,17.602182,Europe/Warsaw 
5100015,Inowroclaw,52.804947,18.244057,Europe/Warsaw 
5100026,Konin,52.231399,18.253333,Europe/Warsaw 
5100032,Kutno,52.226958,19.348615,Europe/Warsaw 
5100056,Sopot,54.440165,18.56232,Europe/Warsaw 
5100061,Tczew,54.097317,18.790151,Europe/Warsaw 
5100065,Warszawa Centralna,52.228864,21.003233,Europe/Warsaw 
5100066,Warszawa Wschodnia,52.251544,21.052332,Europe/Warsaw 
5100067,Warszawa Zachodnia,52.219974,20.965244,Europe/Warsaw 
5100071,Zbaszynek,52.242509,15.818093,Europe/Warsaw 
5100081,Poznan Gl.,52.401996,16.910866,Europe/Warsaw 
5100082,Rzepin,52.350218,14.815076,Europe/Warsaw 
5100084,Terespol,52.074142,23.601223,Europe/Warsaw 
5101104,Gdansk Oliwa,54.40989,18.57174,Europe/Warsaw 
5101307,Gdansk Wrzeszcz,54.381861,18.605432,Europe/Warsaw 
5103284,Swiebodzin,52.245143,15.539535,Europe/Warsaw 
5400001,Brno hl.n.,49.190537,16.612775,Europe/Prague 
5400003,Decin hl.n.,50.773411,14.201248,Europe/Prague 
5400014,Praha hl.n.,50.083058,14.436037,Europe/Prague 
5400019,Usti nad Labem hl.n.,50.659563,14.044728,Europe/Prague 
5400022,Kolin(CZ),50.025437,15.214278,Europe/Prague 
5400161,Pardubice hl.n.,50.031738,15.756211,Europe/Prague 
5400201,Praha-Holesovice,50.110214,14.44001,Europe/Prague 
5400202,Breclav,48.753904,16.893239,Europe/Prague 
5403739,Breclav(Gr),48.712553,16.868401,Europe/Prague 
5500003,Budapest-Keleti,47.500385,19.085069,Europe/Budapest 
5500006,Szob,47.820994,18.862056,Europe/Budapest 
5500008,Kelenföld,47.464356,19.020455,Europe/Budapest 
5500009,Tatabanya,47.584929,18.39361,Europe/Budapest 
5500016,Mosonmagyarovar,47.850353,17.266426,Europe/Budapest 
5500017,Hegyeshalom,47.913502,17.147022,Europe/Budapest 
5500080,Györ,47.681985,17.634795,Europe/Budapest 
5500913,Nagymaros-Visegrad,47.790889,18.958798,Europe/Budapest 
