route_id,service_id,trip_id,trip_headsign
0,0,0,Karlsruhe Hbf
0,1,1,Karlsruhe Hbf
0,2,2,Karlsruhe Hbf
1,3,3,Leipzig Hbf
1,4,4,Hannover Hbf
1,5,5,Leipzig Hbf
1,6,6,Dresden Hbf
1,7,7,Leipzig Hbf
1,8,8,Dresden Hbf
1,9,9,Dresden Hbf
1,10,10,Dresden Hbf
2,11,11,Berlin Ostbahnhof
3,12,12,Berlin Ostbahnhof
4,13,13,Hamburg-Altona
5,14,14,Interlaken Ost
6,15,15,Hamburg-Altona
7,16,16,Interlaken Ost
8,17,17,Interlaken Ost
9,18,18,Interlaken Ost
5,19,19,Interlaken Ost
6,20,20,Frankfurt(Main)Hbf
7,21,21,Interlaken Ost
2,22,22,Berlin Hbf (tief)
3,22,23,Berlin Hbf (tief)
4,23,24,Dortmund Hbf
9,24,25,Interlaken Ost
4,25,26,Hamburg-Harburg
7,26,27,Interlaken Ost
2,27,28,Berlin Ostbahnhof
3,27,29,Berlin Ostbahnhof
8,27,30,Interlaken Ost
9,27,31,Interlaken Ost
2,28,32,Berlin Ostbahnhof
3,28,33,Berlin Ostbahnhof
2,29,34,Berlin Ostbahnhof
3,29,35,Berlin Ostbahnhof
4,30,36,Hamburg-Altona
6,31,37,Hamburg-Altona
6,32,38,Hamburg-Altona
4,33,39,Dortmund Hbf
7,33,40,Interlaken Ost
9,34,41,Interlaken Ost
4,35,42,Hamburg-Altona
7,35,43,Interlaken Ost
6,36,44,Hamburg-Altona
6,37,45,Hamburg-Altona
2,38,46,Berlin Ostbahnhof
3,38,47,Berlin Ostbahnhof
4,39,48,Dortmund Hbf
7,40,49,Interlaken Ost
8,38,50,Interlaken Ost
9,38,51,Interlaken Ost
4,41,52,Hamburg-Altona
7,42,53,Interlaken Ost
2,43,54,Berlin Hbf (tief)
3,43,55,Berlin Hbf (tief)
4,44,56,Hamburg-Altona
5,45,57,Interlaken Ost
8,46,58,Interlaken Ost
9,46,59,Interlaken Ost
7,47,60,Interlaken Ost
4,48,61,Hamburg-Altona
7,48,62,Interlaken Ost
7,8,63,Interlaken Ost
2,49,64,Berlin Hbf (tief)
3,49,65,Berlin Hbf (tief)
4,49,66,Hamburg-Altona
6,50,67,Frankfurt(Main)Hbf
6,51,68,Hamburg-Altona
2,52,69,Berlin Ostbahnhof
3,52,70,Berlin Ostbahnhof
5,53,71,Interlaken Ost
6,54,72,Frankfurt(Main)Hbf
8,52,73,Interlaken Ost
9,52,74,Interlaken Ost
10,55,75,Hamburg Hbf
2,56,76,Berlin Ostbahnhof
3,57,77,Berlin Ostbahnhof
5,58,78,Interlaken Ost
8,56,79,Interlaken Ost
9,56,80,Interlaken Ost
10,59,81,Hamburg Hbf
2,60,82,Berlin Ostbahnhof
3,60,83,Berlin Ostbahnhof
5,60,84,Interlaken Ost
8,60,85,Interlaken Ost
9,60,86,Interlaken Ost
6,61,87,Hamburg-Altona
11,62,88,Münster(Westf)Hbf
12,63,89,Innsbruck Hbf
11,64,90,Münster(Westf)Hbf
12,65,91,Innsbruck Hbf
11,66,92,Münster(Westf)Hbf
12,35,93,Innsbruck Hbf
11,67,94,Münster(Westf)Hbf
12,68,95,Innsbruck Hbf
11,69,96,Münster(Westf)Hbf
12,70,97,Innsbruck Hbf
12,71,98,Innsbruck Hbf
13,72,99,Frankfurt(Main)Hbf
14,73,100,München Hbf
15,74,101,Dortmund Hbf
16,75,102,München Hbf
17,76,103,Düsseldorf Hbf
18,77,104,Frankfurt(Main)Hbf
19,78,105,München Hbf
20,79,106,Bruxelles Midi
21,78,107,München Hbf
22,80,108,Duisburg Hbf
23,81,109,München Hbf
24,82,110,Köln Hbf
25,83,111,Frankfurt(Main)Hbf
26,84,112,Frankfurt(Main)Hbf
27,85,113,Köln Messe/Deutz Gl.11-12
28,86,114,Köln Hbf
29,87,115,Frankfurt(Main)Hbf
30,88,116,Dortmund Hbf
31,89,117,München Hbf
32,90,118,Köln Hbf
33,91,119,Basel Bad Bf
34,92,120,Dortmund Hbf
35,93,121,München Hbf
36,94,122,Dortmund Hbf
13,95,123,München Hbf
37,96,124,München Hbf
38,97,125,Düsseldorf Hbf
39,98,126,Köln Hbf
40,99,127,Stuttgart Hbf
41,100,128,Frankfurt(Main)Hbf
42,101,129,München Hbf
43,102,130,Frankfurt(Main)Hbf
17,103,131,Köln Hbf
44,101,132,Frankfurt(Main)Hbf
45,104,133,Düsseldorf Hbf
19,101,134,München Hbf
46,105,135,Düsseldorf Hbf
21,101,136,München Hbf
47,106,137,Köln Hbf
25,107,138,Frankfurt(Main)Hbf
48,108,139,Köln Hbf
49,109,140,Köln Hbf
38,110,141,Dortmund Hbf
50,111,142,Garmisch-Partenkirchen
22,112,143,Düsseldorf Hbf
30,111,144,Dortmund Hbf
32,113,145,Köln Hbf
33,114,146,Karlsruhe Hbf
15,115,147,Dortmund Hbf
36,116,148,Dortmund Hbf
38,117,149,Düsseldorf Hbf
50,118,150,München Hbf
33,119,151,Karlsruhe Hbf
15,120,152,Dortmund Hbf
15,121,153,Dortmund Hbf
51,122,154,Dortmund Hbf
33,123,155,Mannheim Hbf
15,124,156,Dortmund Hbf
22,125,157,Duisburg Hbf
27,126,158,Köln Messe/Deutz Gl.11-12
30,124,159,Dortmund Hbf
31,125,160,München Hbf
13,127,161,München Hbf
45,128,162,Düsseldorf Hbf
46,129,163,Düsseldorf Hbf
48,127,164,Köln Hbf
49,130,165,Köln Hbf
14,131,166,Nürnberg Hbf
37,132,167,Nürnberg Hbf
50,132,168,München Hbf
45,132,169,Düsseldorf Hbf
19,131,170,Nürnberg Hbf
46,132,171,Düsseldorf Hbf
21,131,172,Nürnberg Hbf
22,132,173,Düsseldorf Hbf
23,131,174,Nürnberg Hbf
27,131,175,Köln Messe/Deutz Gl.11-12
30,131,176,Dortmund Hbf
16,133,177,Nürnberg Hbf
22,133,178,Duisburg Hbf
31,133,179,München Hbf
38,134,180,Düsseldorf Hbf
37,33,181,München Hbf
50,33,182,München Hbf
22,33,183,Düsseldorf Hbf
30,135,184,Düsseldorf Hbf
16,35,185,München Hbf
38,136,186,Essen Hbf
42,137,187,München Hbf
44,138,188,Frankfurt(Main)Hbf
19,138,189,München Hbf
46,137,190,Essen Hbf
21,138,191,München Hbf
45,139,192,Düsseldorf Hbf
38,140,193,Dortmund Hbf
50,141,194,München Hbf
19,142,195,München Hbf
46,143,196,Dortmund Hbf
21,142,197,München Hbf
22,144,198,Dortmund Hbf
27,143,199,Dortmund Hbf
30,143,200,Dortmund Hbf
33,145,201,Karlsruhe Hbf
34,146,202,Dortmund Hbf
27,147,203,Dortmund Hbf
33,148,204,Karlsruhe Hbf
35,149,205,München Hbf
16,150,206,München Hbf
22,151,207,Essen Hbf
31,152,208,München Hbf
33,152,209,Basel Bad Bf
