route_id,route_short_name,route_long_name,route_type,agency_id
0,,ICE 1672,2,DB
1,,ICE 1579,2,DB
2,,IC 2375,2,DB
3,,ICE 1574,2,DB
4,,ICE 1572,2,DB
5,,ICE 1570,2,DB
6,,ICE 1571,2,DB
7,,ICE 1573,2,DB
8,,ICE 1674,2,DB
9,,ICE 1575,2,DB
10,,ICE 1578,2,DB
11,,ICE 1675,2,DB
12,,ICE 1677,2,DB
13,,IC 2379,2,DB
14,,ICE 1676,2,DB
15,,ICE 1673,2,DB
16,,ICE 1563,2,DB
17,,ICE 1565,2,DB
18,,ICE 1662,2,DB
19,,ICE 1569,2,DB
20,,ICE 1568,2,DB
21,,ICE 1663,2,DB
22,,ICE 1564,2,DB
23,,ICE 1562,2,DB
24,,ICE 1560,2,DB
25,,IC 2039,2,DB
26,,IC 2201,2,DB
27,,IC 2203,2,DB
28,,IC 2205,2,DB
29,,IC 2435,2,DB
30,,IC 2209,2,DB
31,,IC 2037,2,DB
32,,IC 2001,2,DB
33,,IC 2019,2,DB
34,,IC 2420,2,DB
35,,ICE 372,2,DB
36,,ICE 278,2,DB
37,,EC 6,2,DB
38,,ICE 275,2,SBB
39,,ECE 52,2,EC
40,,ICE 376,2,DB
41,,EC 7,2,SBB
42,,ICE 371,2,SBB
43,,ICE 373,2,SBB
44,,ICE 396,2,DB
45,,IC 118,2,ÖBB
46,,IC 119,2,ÖBB
47,,IC 118,2,DB
48,,RJ 1286,2,DB
49,,ICE 827,2,DB
50,,ICE 521,2,DB
51,,ICE 1018,2,DB
52,,ICE 1125,2,DB
53,,ICE 214,2,DB
54,,ICE 621,2,DB
55,,ICE 16,2,DB
56,,ICE 625,2,DB
57,,ICE 1122,2,DB
58,,ICE 629,2,DB
59,,ICE 816,2,DB
60,,ICE 817,2,DB
61,,ICE 17,2,DB
62,,ICE 1124,2,DB
63,,ICE 812,2,DB
64,,ICE 911,2,DB
65,,ICE 620,2,DB
66,,ICE 821,2,DB
67,,ICE 810,2,DB
68,,ICE 605,2,DB
69,,ICE 524,2,DB
70,,ICE 619,2,DB
71,,ICE 522,2,DB
72,,ICE 523,2,DB
73,,ICE 618,2,DB
74,,ICE 712,2,DB
75,,ICE 711,2,DB
76,,ICE 811,2,DB
77,,ICE 1223,2,DB
78,,ICE 813,2,DB
79,,ICE 815,2,DB
80,,ICE 820,2,DB
81,,ICE 726,2,DB
82,,ICE 818,2,DB
83,,ICE 12,2,DB
84,,ICE 122,2,NS
85,,ICE 1127,2,DB
86,,ICE 814,2,DB
87,,ICE 819,2,DB
88,,ICE 1118,2,DB
89,,ICE 715,2,DB
90,,ICE 828,2,DB
91,,ICE 716,2,DB
92,,ICE 714,2,DB
93,,ICE 122,2,DB
94,,ICE 626,2,DB
95,,ICE 1518,2,DB
96,,ICE 418,2,DB
97,,ICE 731,2,DB
98,,ICE 733,2,DB
99,,ICE 1237,2,DB
100,,ICE 890,2,DB
101,,ICE 931,2,DB
102,,ICE 736,2,DB
103,,ICE 935,2,DB
104,,ICE 1132,2,DB
105,,ICE 939,2,DB
106,,ICE 936,2,DB
107,,ICE 930,2,DB
108,,ICE 1235,2,DB
109,,ICE 1134,2,DB
110,,ICE 891,2,DB
111,,ICE 754,2,DB
112,,ICE 158,2,NS
113,,ICE 152,2,NS
114,,ICE 9571,2,DB
115,,TGV 9551,2,DB
116,,ICE 9573,2,DB
117,,ICE 9553,2,DB
118,,TGV 9575,2,DB
119,,ICE 9563,2,DB
120,,TGV 9577,2,DB
121,,ICE 9555,2,DB
122,,TGV 9579,2,DB
123,,ICE 9557,2,DB
124,,TGV 9561,2,DB
125,,TGV 9593,2,DB
126,,TGV 9559,2,DB
127,,DZ 13460,2,DB
128,,DZ 27049,2,DB
129,,DZ 13452,2,DB
130,,DZ 13450,2,DB
131,,IC 2204,2,DB
132,,IC 2202,2,DB
133,,IC 2000,2,DB
134,,IC 2207,2,DB
135,,IC 2004,2,DB
136,,IC 2002,2,DB
137,,IC 2005,2,DB
138,,IC 2009,2,DB
139,,IC 2206,2,DB
140,,IC 2200,2,DB
141,,IC 2014,2,DB
142,,IC 2437,2,DB
143,,IC 2032,2,DB
144,,IC 2208,2,DB
145,,IC 2006,2,DB
146,,IC 2007,2,DB
147,,ICE 9568,2,DB
148,,TGV 9596,2,DB
149,,ICE 9574,2,DB
150,,ICE 9572,2,DB
151,,TGV 9560,2,DB
152,,TGV 9570,2,DB
153,,TGV 9578,2,DB
154,,TGV 9576,2,DB
155,,ICE 9566,2,DB
156,,TGV 9592,2,DB
157,,IC 284,2,DB
158,,IC 388,2,DB
159,,IC 181,2,SBB
160,,IC 282,2,DB
161,,IC 481,2,SBB
162,,IC 380,2,DB
163,,IC 183,2,SBB
164,,IC 280,2,DB
165,,IC 483,2,SBB
166,,IC 488,2,DB
167,,IC 185,2,SBB
168,,IC 188,2,DB
169,,IC 485,2,SBB
170,,IC 486,2,DB
171,,IC 187,2,SBB
172,,IC 186,2,DB
173,,IC 487,2,SBB
174,,IC 484,2,DB
175,,IC 189,2,SBB
176,,IC 184,2,DB
177,,IC 489,2,SBB
178,,IC 482,2,DB
179,,IC 281,2,SBB
180,,IC 182,2,DB
181,,IC 381,2,SBB
182,,IC 480,2,DB
183,,IC 283,2,SBB
184,,IC 180,2,DB
185,,IC 389,2,SBB
