stop_id,stop_name,stop_lat,stop_lon
8005644,St Georgen(Schwarzw),48.123814,8.341954
8005661,Stadtallendorf,50.825432,9.015282
8501609,Brig,46.319419,7.988093
8601645,Naestved st,55.231873,11.766925
8002570,Hammerau,47.795879,12.94613
5100213,Jaworzno Szczakowa,50.246329,19.297422
8004669,Oldenburg(Holst),54.283825,10.882836
8011862,Hermsdorf-Klosterlausnitz,50.903782,11.858624
8007768,Norddeich Mole,53.624314,7.158802
8507483,Spiez,46.686394,7.680096
8100197,Feldkirch,47.240975,9.604102
8003680,Limburg Süd,50.382498,8.096108
8601699,Noerreport st,55.683518,12.571864
8507492,Interlaken Ost,46.690502,7.869004
8507493,Interlaken West,46.682951,7.851367
8700011,Paris Est,48.876976,2.35912
5501629,Hegyeshalom(Gr),47.938259,17.095847
8003701,Lingen(Ems),52.519863,7.321732
8700023,Strasbourg,48.585339,7.734067
8003708,Linz(Rhein),50.569339,7.276031
8503424,Schaffhausen,47.698283,8.632728
8601739,Nyborg st,55.31407,10.802921
8601745,Nykoebing F st,54.766834,11.877771
5100227,Bochnia,49.9773,20.430773
8200340,Wasserbillig,49.712829,6.499354
8073368,Köln Messe/Deutz Gl.11-12,50.941717,6.974065
5100228,Debica,50.054419,21.405563
8700059,Thionville,49.333259,6.151759
8005791,Sulz(Neckar),48.366487,8.636746
8100001,Kufstein,47.583077,12.165551
8100002,Salzburg Hbf,47.813048,13.04582
8100004,Wien Hbf (Autoreisezuganlage),48.176626,16.392873
8100008,St.Pölten Hbf,48.208304,15.624672
8100012,Amstetten NÖ,48.121603,14.878109
8100013,Linz Hbf,48.290178,14.292129
8100014,Wels Hbf,48.166082,14.02657
8101917,Salzburg Süd,47.770224,13.078487
8011956,Jena Paradies,50.924853,11.587464
8011957,Jena West,50.923289,11.577846
8100024,Schärding,48.463724,13.442514
8100040,Hallein,47.685168,13.099432
8100041,Golling-Abtenau,47.600579,13.164082
8100042,Bischofshofen,47.417856,13.219887
8100043,St. Johann im Pongau,47.348378,13.19496
8100044,Schwarzach-St.Veit,47.318534,13.154464
8503504,Baden(CH),47.47642,8.307696
8100049,Saalfelden,47.426854,12.829764
8100052,Hochfilzen,47.46771,12.626527
8100053,Fieberbrunn,47.491136,12.52894
8100054,St. Johann in Tirol,47.519622,12.430778
8001751,Ellwangen,48.964117,10.129683
8100057,Kirchberg in Tirol,47.448922,12.3091
8100059,Hopfgarten im Brixental,47.45535,12.149182
8100060,Telfs-Pfaffenhofen,47.300708,11.078872
8100061,Ötztal,47.238485,10.859113
8100062,Imst-Pitztal,47.219077,10.76167
8100063,Landeck-Zams,47.148242,10.578389
8100064,St. Anton am Arlberg,47.127567,10.266994
8100065,Langen am Arlberg,47.13172,10.120371
8100067,Bludenz,47.154723,9.814567
8100070,Leoben Hbf,47.3866,15.089607
8001767,Emden Außenhafen,53.344471,7.186175
8001768,Emden Hbf,53.369038,7.195173
8001774,Emmerich(Gr),51.90119,6.137655
8100079,Krumpendorf/Wörthersee,46.626337,14.22151
8100080,Pörtschach am Wörther See,46.636199,14.146235
8100081,Velden am Wörther See,46.620054,14.044836
8005874,Timmendorferstrand,53.994211,10.762272
8100085,Klagenfurt Hbf,46.615586,14.313569
8100090,Bregenz,47.503001,9.739623
8001787,Bad Endorf,47.905062,12.301558
8100092,Spittal-Millstättersee,46.795703,13.487415
8100093,Mallnitz-Obervellach,46.981214,13.176496
8001790,Engen,47.856349,8.772789
8100095,Bad Gastein,47.111746,13.132458
8100097,Bad Hofgastein,47.195714,13.100942
8100098,Dorfgastein,47.238674,13.103063
8100099,Wörgl Hbf,47.491801,12.060584
8100102,Jenbach,47.388452,11.778458
8100108,Innsbruck Hbf,47.263277,11.401001
8005902,Triberg,48.140004,8.236807
8100113,Seefeld in Tirol,47.328728,11.189485
8010004,Angermünde,53.015223,13.996357
8601878,Oesterport st,55.692705,12.587613
8100122,Dornbirn,47.417694,9.738805
8700188,Longueau,49.863614,2.352513
8010018,Bad Kleinen,53.766973,11.466928
8100131,Liezen,47.562708,14.241889
8100132,Stainach-Irdning,47.529196,14.106754
8010022,Bad Schandau,50.918839,14.139322
8005927,Tutzing,47.907138,11.272887
8100137,Schladming,47.393827,13.678148
8100138,Radstadt,47.384236,13.46781
8601899,Padborg st,54.824248,9.358804
8010033,Bergen auf Rügen,54.420497,13.417821
8100147,Villach Hbf,46.618625,13.848539
8001844,Erlangen,49.595897,11.001907
8100150,Selzthal,47.55024,14.312841
8010050,Bitterfeld,51.622857,12.316849
8006369,Westerland(Sylt),54.906841,8.310923
8010060,Brandenburg Hbf,52.400558,12.566138
8100173,Graz Hbf,47.072301,15.416437
8010066,Bützow,53.837115,11.99819
8010072,Coswig(b Dresden),51.122814,13.579411
8010073,Cottbus Hbf,51.750953,14.324158
8010077,Dessau Hbf,51.839865,12.234948
5101863,Krzeszowice,50.130962,19.633241
8010085,Dresden Hbf,51.040562,13.732039
8010089,Dresden-Neustadt,51.065903,13.740704
5101932,Lancut,50.081431,22.22751
8010093,Eberswalde Hbf,52.834018,13.797058
8700271,Forbach(F),49.189216,6.900255
8098160,Berlin Hbf (tief),52.525589,13.369549
8010097,Eisenach,50.976919,10.331986
8010099,Elsterwerda,51.459675,13.516432
8010101,Erfurt Hbf,50.97255,11.038502
8601979,Ringsted st,55.43804,11.786153
8001920,Esslingen(Neckar),48.738811,9.300078
8010113,Frankfurt(Oder),52.33642,14.546497
8270210,Betzdorf(LUX),49.68889,6.348991
8601988,Roedby,54.655718,11.357466
8003978,Meppen,52.696025,7.298018
8601996,Roedekro st,55.069689,9.332754
8010125,Gera Hbf,50.883422,12.077088
8010133,Jena-Göschwitz,50.883943,11.593541
8012183,Leipzig/Halle Flughafen,51.423341,12.223424
8010136,Gotha,50.939074,10.712571
5603738,Kuty(Gr),48.71108,17.000409
8010139,Greifswald,54.092921,13.370259
